item,doc_id,model_id,source_type
1,wiki-71428275,distilbart_weak,wikipedia
2,wiki-71428275,distilbart_cnn_6_6,wikipedia
3,wiki-71428275,bart_large_cnn,wikipedia
4,wiki-71428275,lead3,wikipedia
5,wiki-71428275,textrank,wikipedia
6,wiki-80505640,textrank,wikipedia
7,wiki-80505640,distilbart_cnn_6_6,wikipedia
8,wiki-80505640,distilbart_weak,wikipedia
9,wiki-80505640,bart_large_cnn,wikipedia
10,wiki-80505640,lead3,wikipedia
11,arxiv-2405.18816,lead3,arxiv
12,arxiv-2405.18816,distilbart_cnn_6_6,arxiv
13,arxiv-2405.18816,bart_large_cnn,arxiv
14,arxiv-2405.18816,textrank,arxiv
15,arxiv-2405.18816,distilbart_weak,arxiv
16,arxiv-2404.16918,lead3,arxiv
17,arxiv-2404.16918,textrank,arxiv
18,arxiv-2404.16918,bart_large_cnn,arxiv
19,arxiv-2404.16918,distilbart_cnn_6_6,arxiv
20,arxiv-2404.16918,distilbart_weak,arxiv
21,wiki-44311024,distilbart_weak,wikipedia
22,wiki-44311024,distilbart_cnn_6_6,wikipedia
23,wiki-44311024,bart_large_cnn,wikipedia
24,wiki-44311024,lead3,wikipedia
25,wiki-44311024,textrank,wikipedia
26,arxiv-2405.01421,bart_large_cnn,arxiv
27,arxiv-2405.01421,distilbart_cnn_6_6,arxiv
28,arxiv-2405.01421,distilbart_weak,arxiv
29,arxiv-2405.01421,textrank,arxiv
30,arxiv-2405.01421,lead3,arxiv
31,wiki-69712582,distilbart_cnn_6_6,wikipedia
32,wiki-69712582,lead3,wikipedia
33,wiki-69712582,textrank,wikipedia
34,wiki-69712582,distilbart_weak,wikipedia
35,wiki-69712582,bart_large_cnn,wikipedia
36,wiki-202286,distilbart_weak,wikipedia
37,wiki-202286,textrank,wikipedia
38,wiki-202286,lead3,wikipedia
39,wiki-202286,distilbart_cnn_6_6,wikipedia
40,wiki-202286,bart_large_cnn,wikipedia
41,wiki-62903900,bart_large_cnn,wikipedia
42,wiki-62903900,distilbart_cnn_6_6,wikipedia
43,wiki-62903900,lead3,wikipedia
44,wiki-62903900,textrank,wikipedia
45,wiki-62903900,distilbart_weak,wikipedia
46,wiki-7059,distilbart_cnn_6_6,wikipedia
47,wiki-7059,bart_large_cnn,wikipedia
48,wiki-7059,lead3,wikipedia
49,wiki-7059,distilbart_weak,wikipedia
50,wiki-7059,textrank,wikipedia
51,arxiv-2406.10667,bart_large_cnn,arxiv
52,arxiv-2406.10667,distilbart_cnn_6_6,arxiv
53,arxiv-2406.10667,textrank,arxiv
54,arxiv-2406.10667,distilbart_weak,arxiv
55,arxiv-2406.10667,lead3,arxiv
56,wiki-1491059,lead3,wikipedia
57,wiki-1491059,textrank,wikipedia
58,wiki-1491059,bart_large_cnn,wikipedia
59,wiki-1491059,distilbart_cnn_6_6,wikipedia
60,wiki-1491059,distilbart_weak,wikipedia
61,arxiv-2402.01369,distilbart_weak,arxiv
62,arxiv-2402.01369,textrank,arxiv
63,arxiv-2402.01369,distilbart_cnn_6_6,arxiv
64,arxiv-2402.01369,lead3,arxiv
65,arxiv-2402.01369,bart_large_cnn,arxiv
66,arxiv-2404.15506,bart_large_cnn,arxiv
67,arxiv-2404.15506,lead3,arxiv
68,arxiv-2404.15506,textrank,arxiv
69,arxiv-2404.15506,distilbart_cnn_6_6,arxiv
70,arxiv-2404.15506,distilbart_weak,arxiv
71,arxiv-2406.03253,bart_large_cnn,arxiv
72,arxiv-2406.03253,textrank,arxiv
73,arxiv-2406.03253,distilbart_weak,arxiv
74,arxiv-2406.03253,distilbart_cnn_6_6,arxiv
75,arxiv-2406.03253,lead3,arxiv
76,arxiv-2309.10275,lead3,arxiv
77,arxiv-2309.10275,bart_large_cnn,arxiv
78,arxiv-2309.10275,textrank,arxiv
79,arxiv-2309.10275,distilbart_cnn_6_6,arxiv
80,arxiv-2309.10275,distilbart_weak,arxiv
81,wiki-997342,lead3,wikipedia
82,wiki-997342,distilbart_weak,wikipedia
83,wiki-997342,bart_large_cnn,wikipedia
84,wiki-997342,distilbart_cnn_6_6,wikipedia
85,wiki-997342,textrank,wikipedia
86,wiki-3793441,bart_large_cnn,wikipedia
87,wiki-3793441,distilbart_cnn_6_6,wikipedia
88,wiki-3793441,lead3,wikipedia
89,wiki-3793441,textrank,wikipedia
90,wiki-3793441,distilbart_weak,wikipedia
91,arxiv-2401.15113,textrank,arxiv
