item,doc,source,summary,coherence,consistency,fluency,relevance
1,1,"Friedberg was born in South Africa. He moved with his family to Los Angeles, California, when he was six. In high school he led the environmental club ""Students H.O.P.E."" (Students Healing Our Planet Earth). At 16 he enrolled at Clarkson University in Potsdam, New York, worked in a pool hall, and learned to play poker. After a year in upstate New York he transferred to the University of California, Berkeley, where he held a part-time job doing mathematical modeling at the Lawrence Berkeley National Laboratory and earned a bachelor's degree in astrophysics in 2001. After several years in investment banking and private equity, Friedberg joined Google in March 2004 as one of the first 1,000 employees and a founding member of Google's Corporate Development group. As Corporate Development and Business Product Manager, Friedberg helped run Google's online advertising platform, AdWords, and negotiated acquisitions and worked with Google co-founder Larry Page. In 2006 he founded his first company, WeatherBill, to create and buy custom weather insurance online while still working at Google as a business product manager. He later recounted driving past the Bike Hut in San Francisco and watching sales slump on rainy days, which convinced him that weather created a major risk for small businesses. WeatherBill secured funding from Founders Fund, Khosla Ventures, Google Ventures, New Enterprise Associates, Index Ventures and Atomico. In 2011 Friedberg renamed WeatherBill as The Climate Corporation. The Climate Corporation offered farmers weather insurance and the climate.com service to help them track, analyze, and make field-specific decisions to improve agricultural outcomes. On 5 October 2011 Friedberg delivered his Entrepreneurship Gives Life Meaning lecture at Stanford. In October 2013, Monsanto announced that it was acquiring The Climate Corporation for about $1.1 billion. Friedberg joined Monsanto's Executive Team after the acquisition and in 2016 shifted to an advisory role. Friedberg founded the car insurance firm Metromile in 2011 and served as its chairman during its early years. In 2014 he purchased Canadian quinoa supplier NorQuin, then North America's largest producer. Above Food Corp. acquired NorQuin in 2022 and appointed Friedberg to its Innovation Advisory Council. Friedberg is a supporter of Donald Trump. In July 2025, the All-In Podcast did an interview with Treasury Secretary Scott Bessent at the White House, which Friedberg described as ""one of the best days of my life."" In 2026, Friedberg was appointed to the President's Council of Advisors on Science and Technology (PCAST) by President Donald Trump. In 2016 Friedberg began speaking with Larry Page about building and financing startups focused on food, agriculture, decarbonization, and life sciences. Through Alphabet Page agreed to finance a holding company that Friedberg would operate. Friedberg founded The Production Board (TPB) later that year. TPB partners with scientists, business leaders, and entrepreneurs to address challenges such as climate change. Its portfolio includes Pattern Ag, Ohalo, Culture Biosciences, Triplebar Bio, Supergut, and Cana. In July 2021, Friedberg announced that The Production Board raised $300 million from Alphabet, Baillie Gifford, Allen & Co., BlackRock, Koch Disruptive Technologies and Morgan Stanley's Counterpoint Global. Ohalo Genetics, a plant breeding company incubated by The Production Board in 2019, develops breeding systems and new crop varieties intended to raise yields while using fewer natural resources. In November 2023 Friedberg became the company's full-time chief executive after helping found the venture. Under Friedberg Ohalo promotes a platform it calls ""Boosted Breeding"", which uses gene editing and quantitative genomics to control inheritance during reproduction. The firm states that the approach can produce polyploid offspring that retain the full genomes of both parents and can shorten breeding cycles across major crops. In 2024 AgFunderNews reported that Ohalo had raised a little over $100 million, was developing programs in crops including potato, and planned to partner with seed companies on additional crops. Friedberg co-hosts the All-In business and investment podcast with Chamath Palihapitiya, David O. Sacks, and Jason Calacanis. Friedberg is a lifelong vegetarian.",Friedberg was born in South Africa and moved to California when he was six . He was a member of Google's Corporate Development and Business,,,,
2,1,(same as above),"Friedberg was born in South Africa and moved to Los Angeles, California, when he was six . He joined Google in 2004 as one of the first 1,000 employees and a founding member of Google's Corporate Development group . Friedberg is a lifelong vegetarian and a supporter of Donald Trump .",,,,
3,1,(same as above),"Friedberg was born in South Africa and moved with his family to Los Angeles, California, when he was six. In high school he led the environmental club ""Students H.O.P.E."" (Students Healing Our Planet Earth) Friedberg joined Google in March 2004 as one of the first 1,000 employees and a founding member of Google's Corporate Development group. He founded his first company, WeatherBill, to create and buy custom weather insurance online while still working at Google as a business product manager.",,,,
4,1,(same as above),"Friedberg was born in South Africa. He moved with his family to Los Angeles, California, when he was six. In high school he led the environmental club ""Students H.O.P.E.""",,,,
5,1,(same as above),"After several years in investment banking and private equity, Friedberg joined Google in March 2004 as one of the first 1,000 employees and a founding member of Google's Corporate Development group. Friedberg joined Monsanto's Executive Team after the acquisition and in 2016 shifted to an advisory role. In 2026, Friedberg was appointed to the President's Council of Advisors on Science and Technology (PCAST) by President Donald Trump.",,,,
6,2,"Jeremiah Knight was born on January 12, 1999, the youngest of six children of John and Dana Knight. He attended Jefferson Area High School in Jefferson, Ohio, where he was a four-year letterwinner and three-year starting running back on the football team. As a freshman in 2013, Knight rushed for 735 yards and caught 13 passes for 144 yards in seven games, earning first-team all-county accolades. He then rushed for 1,317 yards and 13 touchdowns as a sophomore and was named the Ashtabula County Offensive Player of the Year before he rushed for 1,593 yards and 21 touchdowns in his junior season, repeating as County Offensive Player of the Year in addition to earning third-team all-state honors. As a senior in 2016, Knight rushed for 2,233 rushing yards and 23 touchdowns on 11 yards per carry, marking the first 2,000-yard rushing season in county history. He recorded six 200-yard rushing games, including four in a row, and became a defensive starter at cornerback and safety, tallying 12 pass break-ups in 10 games. Knight was named the County Player of the Year, the District Player of the Year, and a first-team all-state honoree. He finished his career as the all-time leading rusher in county history with 5,850 rushing yards and 66 rushing touchdowns. In addition to football, Knight was a four-year letterman in track and field. Knight was rated as a two-star recruit by 247Sports. He received walk-on offers from programs such as Dayton, Eastern Kentucky, Marshall, Middle Tennessee and Youngstown State, and at one point was verbally committed to Dayton. Knight was offered a preferred walk-on spot at Ohio State in November 2016, and he flipped his commitment to the Buckeyes the following month. ""It's always been my dream school,"" said Knight. ""Ever since I was like 3 or 4 years old, ever since I've been playing football, I've wanted to play at Ohio State, it's been my goal. All the hard work I've done has been to be a Division I athlete, but really more like an D-I athlete for Ohio State."" Knight enrolled at Ohio State University and joined the Buckeyes in 2017 as a preferred walk-on. However, after tearing his ACL doing non-contact drills in training camp, he underwent surgery and took a medical redshirt. ""It was tough at first, but I know God has a plan,"" said Knight. ""I accepted it and started working harder."" He also made the switch to wide receiver, modeling his game after Julian Edelman, who had switched from quarterback to receiver in the NFL. After evaluating his opportunities at Ohio State as a walk-on with an ACL injury, Knight requested his release from the program after spring practices. ""I began thinking I could be more effective at a MAC school. And I'd have the chance to play right away,"" he said. Knight received interest from a coach at Akron and committed to the Zips the day after visiting the school in May. As a redshirt freshman in 2018, he recorded nine receptions for 129 yards in 10 games. All nine catches came in the final three games, two of which he started at wide receiver. In his first start against Ohio, Knight made four catches for 94 yards. He was also the team's top kick returner with 245 yards on 16 returns, and top punt returner, with 142 yards and one touchdown on 11 returns. Knight scored his first career touchdown on a 70-yard punt return against Eastern Michigan, which was the longest by an Akron player that season. He was given the Harry ""Doc"" Smith Award for the team's most outstanding freshman on offense. Ahead of his redshirt sophomore season in 2019, Knight was named preseason first-team All-MAC by Phil Steele and second-team All-MAC by Athlon Sports. He was also awarded a scholarship. Knight made six starts in 12 games played and paced the team with 833 all-purpose yards.","He then rushed for 1,317 yards and 13 touchdowns as a sophomore and was named the Ashtabula County Offensive Player of the Year before he rushed for 1,593 yards and 21 touchdowns in his junior season, repeating as County Offensive Player of the Year in addition to earning third-team all-state honors. Knight was offered a preferred walk-on spot at Ohio State in November 2016, and he flipped his commitment to the Buckeyes the following month. Knight enrolled at Ohio State University and joined the Buckeyes in 2017 as a preferred walk-on.",,,,
7,2,(same as above),"Jeremiah Knight was born on January 12, 1999, the youngest of six children of John and Dana Knight . He was a four-year letterwinner and three-year starting running back on the football team . As a freshman in 2013, Knight rushed for 735 yards and caught 13 passes for 144 yards in seven games . He rushed for",,,,
8,2,(same as above),Jeremiah Knight was a four-year letterwinner and three-year starting running back on the football team . He was named the Asht,,,,
9,2,(same as above),"Jeremiah Knight is a four-year letterwinner and three-year starting running back on the football team. He rushed for 2,233 rushing yards and 23 touchdowns on 11 yards per carry as a senior in 2016. Knight was rated as a two-star recruit by 247Sports. He joined the Buckeyes in 2017 as a preferred walk-on.",,,,
10,2,(same as above),"Jeremiah Knight was born on January 12, 1999, the youngest of six children of John and Dana Knight. He attended Jefferson Area High School in Jefferson, Ohio, where he was a four-year letterwinner and three-year starting running back on the football team. As a freshman in 2013, Knight rushed for 735 yards and caught 13 passes for 144 yards in seven games, earning first-team all-county accolades.",,,,
